2024-10-15T11:49:23.011+07:00  INFO 2588 --- [elerna] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] k.c.c.i.ConsumerRebalanceListenerInvoker : [Consumer clientId=consumer-confirm-account-group-1, groupId=confirm-account-group] Revoke previously assigned partitions confirm-account-topic-0, confirm-account-topic-1, confirm-account-topic-2
2024-10-15T11:49:23.016+07:00  INFO 2588 --- [elerna] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : confirm-account-group: partitions revoked: [confirm-account-topic-0, confirm-account-topic-1, confirm-account-topic-2]
2024-10-15T11:49:23.017+07:00  INFO 2588 --- [elerna] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-confirm-account-group-1, groupId=confirm-account-group] Member consumer-confirm-account-group-1-7a7581e8-2f05-4484-bee5-955ca427ef20 sending LeaveGroup request to coordinator localhost:29092 (id: 2147483646 rack: null) due to the consumer unsubscribed from all topics
2024-10-15T11:49:23.021+07:00  INFO 2588 --- [elerna] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-confirm-account-group-1, groupId=confirm-account-group] Resetting generation and member id due to: consumer pro-actively leaving the group
2024-10-15T11:49:23.021+07:00  INFO 2588 --- [elerna] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-confirm-account-group-1, groupId=confirm-account-group] Request joining group due to: consumer pro-actively leaving the group
2024-10-15T11:49:23.021+07:00  INFO 2588 --- [elerna] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.c.internals.LegacyKafkaConsumer  : [Consumer clientId=consumer-confirm-account-group-1, groupId=confirm-account-group] Unsubscribed all topics or patterns and assigned partitions
2024-10-15T11:49:23.026+07:00  INFO 2588 --- [elerna] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-confirm-account-group-1, groupId=confirm-account-group] Resetting generation and member id due to: consumer pro-actively leaving the group
2024-10-15T11:49:23.026+07:00  INFO 2588 --- [elerna] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-confirm-account-group-1, groupId=confirm-account-group] Request joining group due to: consumer pro-actively leaving the group
2024-10-15T11:49:23.400+07:00  INFO 2588 --- [elerna] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.apache.kafka.common.metrics.Metrics    : Metrics scheduler closed
2024-10-15T11:49:23.401+07:00  INFO 2588 --- [elerna] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.apache.kafka.common.metrics.Metrics    : Closing reporter org.apache.kafka.common.metrics.JmxReporter
2024-10-15T11:49:23.403+07:00  INFO 2588 --- [elerna] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.apache.kafka.common.metrics.Metrics    : Closing reporter org.apache.kafka.common.telemetry.internals.ClientTelemetryReporter
2024-10-15T11:49:23.404+07:00  INFO 2588 --- [elerna] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.apache.kafka.common.metrics.Metrics    : Metrics reporters closed
2024-10-15T11:49:23.420+07:00  INFO 2588 --- [elerna] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.kafka.common.utils.AppInfoParser     : App info kafka.consumer for consumer-confirm-account-group-1 unregistered
2024-10-15T11:49:23.421+07:00  INFO 2588 --- [elerna] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : confirm-account-group: Consumer stopped
2024-10-15T11:49:23.520+07:00  INFO 2588 --- [elerna] [SpringApplicationShutdownHook] o.a.k.clients.producer.KafkaProducer     : [Producer clientId=elerna-producer-1] Closing the Kafka producer with timeoutMillis = 30000 ms.
2024-10-15T11:49:23.546+07:00  INFO 2588 --- [elerna] [SpringApplicationShutdownHook] o.apache.kafka.common.metrics.Metrics    : Metrics scheduler closed
2024-10-15T11:49:23.547+07:00  INFO 2588 --- [elerna] [SpringApplicationShutdownHook] o.apache.kafka.common.metrics.Metrics    : Closing reporter org.apache.kafka.common.metrics.JmxReporter
2024-10-15T11:49:23.547+07:00  INFO 2588 --- [elerna] [SpringApplicationShutdownHook] o.apache.kafka.common.metrics.Metrics    : Closing reporter org.apache.kafka.common.telemetry.internals.ClientTelemetryReporter
2024-10-15T11:49:23.547+07:00  INFO 2588 --- [elerna] [SpringApplicationShutdownHook] o.apache.kafka.common.metrics.Metrics    : Metrics reporters closed
2024-10-15T11:49:23.548+07:00  INFO 2588 --- [elerna] [SpringApplicationShutdownHook] o.a.kafka.common.utils.AppInfoParser     : App info kafka.producer for elerna-producer-1 unregistered
2024-10-15T11:49:23.570+07:00  INFO 2588 --- [elerna] [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-10-15T11:49:23.587+07:00  INFO 2588 --- [elerna] [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : hikari-connection-pool - Shutdown initiated...
2024-10-15T11:49:23.605+07:00  INFO 2588 --- [elerna] [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : hikari-connection-pool - Shutdown completed.
