Episode,Step,State,Action,Reward,Collision_Probability,Collision_Probability_List,Action_Description,Done
200,0,"[ 3.34538574e+01  3.48789482e+01  1.04762592e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59424896e+02  7.01324997e+01 -3.67733440e-03  4.65221181e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  1.58093807e+00  5.05908750e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.97344554e+01  0.00000000e+00  1.00000000e+02
  1.29182730e-01  1.08847768e+00  1.00000000e+00]",33,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",NPC vehicle overtake?lane=left&maintainlane=1&position=near,False
200,1,"[ 6.05907860e+01  3.53962975e+01  2.04405403e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59965363e+02  6.94246902e+01  3.59993378e+02  7.51623636e+00
  1.00000000e+00  1.00000000e+00  1.29735550e+02  1.39997766e+01
  1.53238751e+02  1.29735550e+02  1.34886601e+00  5.07152441e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  4.08831584e+01  0.00000000e+00  1.00000000e+02
 -3.20992752e-01  2.06746071e+00  1.00000000e+00]",17,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",NPC vehicle drive-ahead?lane=current&maintainlane=0&position=near,False
200,2,"[ 1.15657730e+02  3.52952652e+01  4.38571320e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  7.20317513e-02  6.60218124e+01  3.59989655e+02  1.02497041e+01
  2.00000000e+00  2.00000000e+00  9.17115440e+00  1.00124668e+01
  1.52799062e+02  9.17115440e+00  1.75905129e+00  5.13055518e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.45891197e+01  1.00000000e+02
  1.59573644e+00 -9.15112621e-01  1.00000000e+00]",33,0.642062,0.642062,"[0.252088, 0, 0, 0.374245, 0.380348, 0.391876, 0.615219, 0.437107, 0.623284, 0.630176, 0.64089, 0.642062]",NPC vehicle overtake?lane=left&maintainlane=1&position=near,False
200,3,"[ 1.65239670e+02  3.55029297e+01  7.89768219e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59840149e+02  4.37511520e+01  3.59948273e+02  1.06589617e+01
  3.00000000e+00  3.00000000e+00  7.86997351e+00  9.99968024e+00
  1.53201226e+02  7.86997351e+00  1.34962548e+00  5.51981780e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  1.02281623e-01  5.29245123e-01  1.00000000e+00]",33,0.960698,0.960698,"[0.663677, 0.789313, 0.740637, 0.679666, 0.723003, 0.827399, 0.865865, 0.90886, 0.929617, 0.944251, 0.954835, 0.960698]",NPC vehicle overtake?lane=left&maintainlane=1&position=near,False
200,4,"[ 2.14338348e+02  3.56943855e+01  1.23319160e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.70448588e-02  4.85552559e+01  3.59866425e+02  1.11391853e+01
  4.00000000e+00  4.00000000e+00  3.64624199e+00  9.99932154e+00
  1.52781155e+02  3.64624199e+00  1.34848144e+00  5.43634658e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -1.90974267e+00  9.09392020e-02  1.00000000e+00]",33,0.982835,0.982835,"[0.942587, 0.977597, 0.982835, 0.98249, 0.94013, 0.880246, 0.817641, 0.720064, 0.728371, 0.780123, 0.732555, 0.531751]",NPC vehicle overtake?lane=left&maintainlane=1&position=near,False
200,5,"[ 2.48953949e+02  3.56933556e+01  1.52748093e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59778015e+02  5.00848846e+01  7.28941348e-04  4.22907148e+00
  5.00000000e+00  5.00000000e+00  4.34658446e+00  1.44735109e+00
  1.49921701e+02  2.94251702e+02  1.34999873e+00  5.40903609e+00
  1.70615785e+00  6.20580250e+00  2.06143261e+00  2.60054745e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.91853283e+01  1.00000000e+02
  7.66084333e-01 -1.82717501e+00  1.00000000e+00]",31,0.97338,0.97338,"[0.903134, 0.962664, 0.972888, 0.97338, 0.909497, 0.890124, 0.889833, 0.889899, 0.891669, 0.89176, 0.889152, 0.305304]",NPC vehicle overtake?lane=left&maintainlane=1&position=far,False
200,6,"[ 2.52892715e+02  3.57208405e+01  1.56039764e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59704529e+02  5.01430702e+01  2.88089737e-03  6.92789938e-02
  6.00000000e+00  6.00000000e+00  3.47748691e+00  0.00000000e+00
  1.52737966e+02  2.99297698e+02  1.35044810e+00  5.40800685e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.02432085e+01  1.00000000e+02
 -8.70455883e-04 -3.00000000e+00  1.00000000e+00]",33,-1,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",NPC vehicle overtake?lane=left&maintainlane=1&position=near,False
200,7,"[ 2.52892715e+02  3.57208405e+01  1.56039764e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59704529e+02  5.01430702e+01  2.88089737e-03  6.92789938e-02
  7.00000000e+00  7.00000000e+00  3.47748691e+00  0.00000000e+00
  1.52737966e+02  2.99297698e+02  1.35044810e+00  5.40800685e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.02432085e+01  1.00000000e+02
 -8.70455883e-04 -3.00000000e+00  1.00000000e+00]",33,0.95393,0.95393,"[0.869702, 0.937196, 0.95393, 0.910972, 0.898023, 0.862657, 0.692839, 0.536134, 0.397403, 0.242334, 0, 0]",NPC vehicle overtake?lane=left&maintainlane=1&position=near,False
200,8,"[2.65283508e+02 3.57799377e+01 1.66355225e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 8.73404816e-02 5.02119446e+01 6.73814866e-05 7.30210170e+00
 7.00000000e+00 7.00000000e+00 1.69979032e+01 9.99832130e+00
 1.52990685e+02 3.15165995e+02 1.34813644e+00 5.40679974e+00
 3.30242348e+01 5.92741888e+00 9.99832275e+00 7.27887912e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.35596091e+01 0.00000000e+00 1.00000000e+02
 3.93374699e-03 1.60459061e+00 1.00000000e+00]",33,-1,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",NPC vehicle overtake?lane=left&maintainlane=1&position=near,False
200,9,"[2.65283508e+02 3.57799377e+01 1.66355225e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 8.73404816e-02 5.02119446e+01 6.73814866e-05 7.30210170e+00
 8.00000000e+00 8.00000000e+00 1.14018744e+01 0.00000000e+00
 1.21377658e+01 3.15165995e+02 1.34813644e+00 5.40679974e+00
 3.30242348e+01 5.92741888e+00 9.99832275e+00 7.27887912e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.04156559e+01 0.00000000e+00 1.00000000e+02
 8.63406931e-02 2.65363354e+00 1.00000000e+00]",33,-1,0.026125,"[0, 0, 0, 0, 0, 0, 0.012348, 0.026125, 0, 0, 0, 0]",NPC vehicle overtake?lane=left&maintainlane=1&position=near,False
200,10,"[ 3.06053925e+02  3.54158974e+01  2.02563904e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.45313098e-02  4.63347549e+01  3.59993042e+02  8.56482677e+00
  8.00000000e+00  8.00000000e+00  2.21812960e+01  1.00047727e+01
  1.53147122e+02  1.39427694e+02  1.69185764e+00  5.47448214e+00
  5.45314018e+00  6.26819254e+00  3.52763861e-01  2.65208721e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.69105316e+01  1.00000000e+02
  1.53574369e-01 -2.81893762e+00  1.00000000e+00]",41,-1,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",NPC vehicle drive-opposite?maintainlane=0&position=near,False
200,11,"[ 3.06053925e+02  3.54158974e+01  2.02563904e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.45313098e-02  4.63347549e+01  3.59993042e+02  8.56482677e+00
  9.00000000e+00  9.00000000e+00  2.21812960e+01  1.00047727e+01
  1.53147122e+02  1.39427694e+02  1.34830850e+00  5.47453031e+00
  5.45314018e+00  6.26819254e+00  3.52763861e-01  2.65208721e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.18774647e+01  1.00000000e+02
 -3.68195346e-02 -3.52345773e+00  1.00000000e+00]",11,0.259772,0.259772,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.008031, 0.129679, 0.259772]",Noon,False
200,12,"[ 3.30050598e+02  3.49364433e+01  2.24623383e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.40000000e+01  0.00000000e+00
  2.84085013e-02  4.86465454e+01  5.14104962e-03  4.68060566e+00
  9.00000000e+00  9.00000000e+00  1.44413576e+01  0.00000000e+00
  1.52850891e+02  2.34921466e+02  1.34846366e+00  5.43412504e+00
  2.09153447e+00  6.25278049e+00  3.49602038e-01  2.38521100e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -2.36127011e-01 -1.23778357e-01  1.00000000e+00]",33,0.843962,0.843962,"[0.389588, 0.475225, 0.538797, 0.648393, 0.639135, 0.691948, 0.77249, 0.843962, 0.830758, 0.697459, 0.549431, 0.367982]",NPC vehicle overtake?lane=left&maintainlane=1&position=near,False
